order_id,zone,size,priority,time_window_open,time_window_close,service_time_min
O00,E,1,standard,09:30,12:00,10
O01,B,4,standard,10:00,12:30,10
O02,A,1,standard,08:30,10:30,10
O03,A,2,standard,12:00,13:30,10
O04,E,4,standard,10:30,12:30,10
O05,A,3,standard,08:30,11:00,10
O06,D,4,express,08:00,09:30,15
O07,B,2,standard,13:00,14:00,10
O08,D,4,standard,14:00,16:00,10
O09,A,1,standard,10:30,12:30,10
O10,A,5,standard,10:00,11:30,10
O11,C,3,standard,08:30,10:00,10
O12,B,2,standard,11:30,14:00,10
O13,C,4,standard,09:30,11:00,10
O14,E,2,express,13:30,14:30,15
O15,E,5,express,10:00,11:00,15
O16,A,5,express,11:30,14:00,15
O17,A,2,standard,09:30,10:30,10
O18,A,2,standard,09:00,10:00,10
O19,D,3,standard,08:00,10:30,10
O20,B,1,standard,13:30,15:30,10
O21,D,3,standard,09:30,11:30,10
O22,D,4,standard,09:30,10:30,10
O23,B,3,standard,12:30,14:30,10
O24,B,5,standard,13:30,14:30,10
O25,D,3,express,08:00,10:00,15
O26,A,4,standard,09:30,10:30,10
O27,E,1,standard,12:00,13:30,10
O28,C,4,standard,13:30,15:00,10
O29,A,1,standard,12:00,14:00,10
